correct,wrong
mainly,mianly
away,alway
extraordinary,extradinary
permanent,preerment
exhibition,exbition
statue,statu
civilizations,civilations
innocent,inoncent
gorgeous,gourgeous
possession,possesion
mountainous,mountanous
anniversary,aniversry
altitude,altitued
miscellaneous,michellanos
telephoned,telephed
thin,thiden
between,betwen
inconvenience,inconvienence
revealed,revealled
preserve,preseve
whatever,watever
dropping,droping
annum,annym
whole,wohle
rehearsed,rehersed
analysis,analaysis
mistake,misstake
correspondence,corresondence
form,foorm
arranged,aranged
region,reigon
shelter,selter
guaranteed,guaranted
absurd,absurred
temporarily,temporiarly
rebuttal,rebutal
extraordinary,extrodary
permanent,permenate
genius,genious
economics,ecominics
approximate,apoximate
guildhall,guild-hall
originally,orrigionally
particular,paritular
seat,steat
appetite,appetitite
renew,renue
renewed,renewded
motivated,motiviated
musician,musican
teachers,techershoy
realize,realise
yacht,yahct
discretion,discreation
approximate,appoximate
supported,suppore
bicycle,bicyle
circling,circulering
economical,ecomically
habit,habbit
curtains,curtins
affectionately,affeconatly
delinquent,delinquenut
nearest,nearst
attaching,atacing
unparalleled,unparalled
studying,studing
without,with_aot
thief,thefe
appetite,appetitale
possess,pssess
longer,loger
hello,hellow
problem,pronlem
controversy,conturvesy
flight,filght
surreptitious,sureptitous
omitting,omiting
discourage,discourge
safety,safty
telephoned,telhonde
actually,actarlly
merchantmen,merchantment
clinical,clincial
behavior,behaviour
looking,loking
eventually,enventually
rheumatism,reumatism
dinner,dinnr
schemes,scheames
classroom,class-room
miscellaneous,miscelleanous
delivered,delieverd
freezing,frezeing
between,beeteen
leisure,leshure
requisition,recqusition
disappeared,disappeard
physician,phician
possess,posesses
efficiency,effienicy
bachelor,batchelor
meantime,mentime
daisy_chains,daisychain's
similar,simmilar
university,universit
strengthen,strenghten
referring,referinig
inverted,invertd
requested,rquested
science,scienc
machine,matchine
inaccessible,imaxessible
unsurprised,unsuprised
succeed,suceed
gradually,graally
surplus,surpuse
amiable,aimuable
touched,stuched
opposite,opposited
altitude,altuide
exists,exchists
appropriate,approproate
something,some_thing
especially,especaly
dormitory,dormoratory
psychology,scyclogy
choose,choos
unfinished,unfinised
counsel,consele
thoroughly,throughy
covenant,convenant
acceptable,axeptable
schedule,scedule
expenditure,expenidure
satisfaction,satisfacin
manners,maners
miscellaneous,micellaneouse
commissioner,comissioner
belief,belefe
direction,directoin
shouldn't,shouldnt
sympathetic,smpathic
worry,wory
around,arouned
mind,minde
triumph,trimuph
mortgage,morgags
phenomenon,phenonenon
loud,loucd
museum,musem
accompanying,acompaning
million,millon
intellectual,intellectional
acknowledgement,actknowlegment
rained,raind
suitable,suiable
mountainous,mountinlous
repairs,repaires
proprietary,propietary
embarrassed,embassed
packing,paking
sword,sord
gallery,gallry
capable,capeable
opportunity,oppotunity
immediately,imediatly
initialized,initized
gallery,garllery
occasionally,occasionially
recently,reciently
deem,deemn
conscientious,concenetious
unanimous,unannimous
ophthalmologist,opthamologist
jealous,jelous
alumni,allumni
commercial,comercial
preferred,prefferred
representatives,repersentatives
accepted,acepted
heavily,heavilly
psychology,sychology
poems,powems
courtesies,courtessys
statistics,staylistic
addressing,adressing
ventilated,venteariated
rebel,rebell
extraordinary,extrarordy
awaiting,awaitin
remember,remmeber
think,thikn
vacancy,vacancey
twilight,twlight
tightening,tighting
specific,speciefic
amiable,amible
inevitably,ineviatbly
supplement,supplent
splendid,spleind
special,specile
manoeuvres,manouvers
tennis_player,tennisplayer
accustomed,accumstomed
successful,succsessful
refrigerator,refridgator
century,centruy
really,realyl
babies,babs
description,desacription
reader,reder
principles,primicples
vitamins,vitamines
triumph,triuphy
yacht,yaht
possibility,possibilty
previous,previos
awake,awak
guaranteed,guarnteed
beginning,bening
decidedly,decedaly
courses,corses
asymmetry,assymmetry
modified,modiefied
indulge,indulgue
guaranteed,guranteed
gives,givs
always,allways
anything,anytying
statistics,staticisics
refreshment,refreschment
process,proccess
guardian,guardine
planted,plarnted
accrued,accrude
scissors,sisscors
heretofore,heretofor
scheduled,sceduled
accommodate,accomnodate
biscuits,biscute
archaeology,archaoelogy
trotting,trting
content,conitent
embarrassed,embarssed
division,divison
building,bilding
vacancies,vacancease
recommendation,reccommendation
thing,thng
wound,woned
appear,apper
southern,southren
analysis,anlaysis
sidewalk,sidwalk
prejudice,predujuce
singular,singulaur
radish,raddish
accomplishment,acomplishment
effect,efect
desirous,desireous
employment,empolyment
bottle,botle
economic,ecconic
appointment,appoitment
permanently,permenantly
referring,reffering
environmental,enviromental
hallowe'en,hallowen
imprisonment,inprisonment
brown,bron
colloquialism,colloquilism
follows,followes
memorandum,memorandun
surplus,surplis
bread,brade
laugh,laghe
tracksuit,trak-suit
peculiar,pecuilar
glowed,gloweld
subterranean,subterainam
difficulty,dificulty
decidedly,decidely
scrambled,escrabled
receipts,recipts
permanently,permentally
approximate,approckiate
shining,shinig
uncomfortable,uncomftable
natural,natureal
opponent,oponent
propped,poped
approaching,approcing
handling,handeling
individualistic,idividualistic
surrounded,surroded
peculiar,percula
somehow,some_how
civilian,civillian
everywhere,eveywhere
quality,quallity
acknowledgement,accknowledgement
bargain,bargin
university,unversity
conscience,consience
wheat,weat
automobile,automible
pamphlets,phamphet
definitely,deffinity
disappoint,disappiont
particular,particula
struck,struk
assassinations,assasinations
trouble,touble
laboratory,laboraty
strenuous,strenious
sometimes,some_times
schedule,scedgule
pavement,pavment
seventeen,seventen
conscientious,conscietinous
gradually,gerdually
correspond,corresond
reign,reighn
visit,viste
pockets,pokects
spear,spere
fight,fighg
president's,pesident's
renown,reknown
mutual,mutucal
cord,coard
experience,experinence
necessary,nessary
visited,vistd
manner,amnner
anonymous,anynomous
knowledge,knoledge
platform,plateform
august,agust
february,feburary
terrestrial,terestial
immensely,immensly
married,marryied
region,reon
analysing,aalysing
burying,buirying
prejudice,predjudic
business,busness
swear,swer
controversy,combtrovesy
searched,serhed
philosophy,phillisophy
judaism,juadism
virtue,vurtue
ready,redy
comparatively,comparativly
pity,pitty
bored,borded
geometry,geomtery
rubbish,rubish
negotiations,negotion
appreciate,aprechiate
inaccessible,inaccesible
receipts,recieptes
perceive,percived
specify,specif
rank,wrank
refreshment,refeshment
refreshment,refreshement
excellent,exellent
large,lardge
enjoyable,enjoyeable
fascinated,facinated
medicine,medecine
different,differnt
especially,especsily
bicycle,biclyce
pronounce,pronouce
basically,baiscally
domestic,domestick
acknowledgement,acknowldment
misleading,missleading
problem,probleum
across,acros
breathe,breth
cemetery,cemetre
immediately,inmediantly
collateral,collatteral
deity,diety
hysterical,hystrical
professor,proffesor
spread,spreaded
early,erly
noticeable,notesable
innocent,innonce
environmentally,enviornmentally
diamond,daimond
recognize,reconise
again,a_gan
picturesque,picturesesk
number,numbeer
give,giave
accident,acdent
puzzle,puzzel
convalescence,convalence
should,shold
guarantee,garnteed
surreptitious,surreptious
autograph,autgraph
technical,tecnicale
fields,fiels
dangerous,daingeris
damage,damge
remember,remmber
rheumatism,rheumtism
sovereignty,soverignity
conditions,condions
happily,hapily
approve,aprove
vagabond,vagbond
exists,exaist
thoroughly,throroughly
extraordinary,extraoridinary
extraordinary,extraorinary
pneumonia,pheumonia
pilot,pilote
analysis,analiss
diminish,diminsh
bachelor,bachlor
explain,explane
sang,saing
women,wmen
miscellaneous,micelaneous
adequate,adquated
flexibility,felxibility
communicate,communicat
danger,dager
partly,partley
initial,intital
horses,horeses
instead,insted
latest,latet
recommend,reccomnend
dinnertimes,dinner_times
ammonia,amonia
reporter,repoter
grievous,grievious
curly,curley
efficiency,effencey
necessary,necesscay
occasionally,occassionally
continuous,continiouse
entered,enterd
possess,posesse
hippopotamus,hippopotamous
accommodate,accomodiate
biscuits,bicites
successful,successeful
derived,deriviated
inconvenienced,inconvenince
request,requst
guarantee,garatee
auditorium,aduitorum
aeroplane,eiroplane
conscious,consceious
religion,religon
available,availble
commander,comander
lavatory,labatory
newcomer,newcommer
include,inclued
originally,origionally
stomach,sortmach
approximate,approxamite
catarrh,catar
piano,pinao
friend,fren
traffic,trafic
plasticine,plastine
team-mates,teamates
censure,censur
aeroplane,arioplan
prior,piror
subterranean,subterrean
institution,insitution
apparently,apprantly
unnoticed,unnotie
wrote,wroute
glance,glacnce
truly,trully
starch,startch
enthusiasm,entheusiasism
perhaps,perphas
alumni,alumie
special,speial
tragedy,tradigdy
cease,ciese
argument,aurgument
utmost,uttmost
haven't,havn't
pro_tem,protem
bottle,bottel
hang,haing
guaranteed,gruantee
surprise,suprize
frightened,frightend
conversation,convesation
unhappy,un_happy
competent,conpetent
babies,baybis
scientific,scienfic
conditions,condiptions
eventually,eventialy
prejudice,prejudce
temporary,temperory
above,abofe
radically,radiaclly
inconvenienced,inconvenonce
tourers,turrers
consequently,consquently
virtue,virtuge
battalion,batallion
mathematics,matathmatics
thoroughly,thoroghly
recommended,reccomended
things,thnigs
analysis,anaylusis
purple,purle
surprised,suprised
special,speical
raincoat,rancot
inconvenienced,inconfience
persuasion,persausion
sufficient,suficent
courtesies,corteouses
penance,pennance
journeys,journies
cemetery,cemetary
irresistible,irresible
conceive,concieve
split,splite
changing,changeing
unavailable,unavailble
establishing,estabising
behaviour,behavor
originally,orriginally
substantial,substantal
dangerous,dangerious
design,desine
about,a_but
intellectual,intellecual
count,cont
chemically,chemicaly
receipts,receupt
contemptible,contempible
specimen,specium
secret,secert
materially,materialily
emigrated,emmigrated
bulletin,bulletun
approximately,approcimantly
everyone,evry_one
chemistry,cemistery
missouri,misouri
malcolm,malcom
answer,answere
inconvenient,inconvient
magnificent,maginificent
everybody,everbody
quick,quck
almost,allmost
tournament,turnament
juice,juies
manoeuvrability,manoeuverability
completing,complting
broke,brok
unsuccessful,unsucessful
cease,ceses
incidentally,indidently
sorority,sororitity
explained,explaned
rheumatism,rhumenatism
assembly,assemly
collect,colect
representatives,repersentaves
valley,valy
restaurant,restuarant
damaged,dammage
years,yeras
needlework,needlwork
misery,missery
associated,asociated
strict,stict
imitation,imitiation
inconvenience,inconvenince
flight,fligt
copy,copey
figures,figurs
unusable,unuseable
poetry,poemetry
bossing,bosing
irrigate,irigate
leisure,lesuire
alpine,alphine
minimum,miniumn
recognition,reckognition
materially,matierially
fundamental,fundamntal
friendly,freindly
melancholy,melancoly
recovery,recofey
reckon,reckgon
disappoint,disapont
lining,linning
questionnaire,questionire
rabbinical,rabinnical
holiday,hoilday
consolidate,consolodate
surplus,supluors
abhorrence,abhorence
privilege,privelige
analysis,analys
beneficiary,beneficary
announced,anounced
congratulations,congraulation
exists,exhist
members,menbers
dispel,dispell
magnificent,maginficent
biscuits,bicutes
above,abuov
here,herre
permanent,permerant
unfortunately,unfortunatly
accommodate,accomodat
knows,knwos
unfortunate,unfortunte
inconvenienced,uncoveniencest
mathematicians,matheticians
catalogues,catalouges
sentence,sentance
romantic,romatics
transcription,transcripting
unfortunate,unfournate
affidavit,affdavit
region,regon
recognition,reconitin
tournament,trounment
conscience,consicience
visited,visterd
occasionally,occasonially
prejudice,prejiduce
quarantine,quarrantine
shepherd,sheperd
departure,departuar
community,comunity
employer,empolyer
approximate,approcimate
tyrannical,tyranical
reliable,relible
mutual,mutuale
begging,beggin
operation,opperation
refreshment,refreme
courtesy,courtesiy
possessive,possesive
removed,removd
financially,finanialy
grandeur,granduer
reporter,reporet
alike,alick
psychology,pyschology
technical,tecnicle
collate,colate
conservative,conservatie
pulse,pluse
strenuous,trenuous
choirboy,choir_boy
experience,expereance
inconvenient,inconveanent
grippe,la-grippe
being,bieng
doubt,doub
invite,invit
immediately,immedely
summary,sumary
determining,determinining
enthusiasm,enthissiasm
curriculum,curicculum
aching,acheing
explained,epland
trousers,trouses
financially,finnacally
profession,proffeson
holy,wholy
necessarily,necessarlily
anniversary,anniverseray
conscious,consiouse
often,orfen
comparatively,comparitavely
criticism,crictism
nowadays,nowdays
teach,tech
against,againter
remind,remine
great,grat
desiccated,dessicated
hospital,hostpital
exacerbated,exerbated
solemn,solmen
toward,towrad
technical,techenal
realized,relized
raincoat,rean_coat
tracksuit,tark_suit
extinct,extint
dormitory,domitory
friends,firieds
horse,hosue
bungalow,bounglow
curtains,cirtains
exists,exqist
swell,swel
surreptitiously,surreptiously
determined,determuined
temperature,teperar
provided,provded
communicate,comemunicate
acknowledgement,accknowledgment
chemistry,cemistry
gradually,grauly
bicycle,bicecyle
science,sience
detached,detatched
aviation,avation
explicit,explicite
detailed,detailled
shaggy,shagy
guarding,guding
reason,reson
leeds,leede
destination,desinison
general,genral
surrounded,surroned
restaurant,restarant
minimum,minimim
accident,axcident
history,histroy
beautiful,bautiful
materially,materilay
sewing,sweing
independently,indpendently
chimneys,chimnies
another,anothe
attention,atention
memorandum,memorndum
unfavourites,unfavortes
sure,shure
delegates,delegats
cartographer,carthographer
guidelines,guidlines
harassed,harased
chapel,chaple
inappropriate,inappropiate
apollo,appolo
frighten,friten
message,mesage
unforgettable,unforgetabal
appointed,apointed
facilities,facilite
opposite,oppossite
substitute,subsitute
guarantee,guarrant
existence,exizentence
picturesque,pictureques
courtesy,courtiesy
allotment,allottment
question,qustion
prisoners,prsioners
commissioning,comisioning
tournament,touranment
rhythm,rhythim
acknowledging,acknowlging
instruments,instment
emitted,emmitted
composed,compossed
continuous,continus
examination,examiniation
years,eyars
oblige,oblidge
scarcely,sacely
acknowledgement,acnowledgment
actual,actuall
buried,buired
bungalow,bunglow
guards,gard's
courtyard,court_yard
consistent,consident
commissioned,comissioned
addition,addtion
congratulations,congraulations
galloped,galopte
suspicion,suspicition
crying,cring
enthusiastic,enthusistic
exquisite,exsquite
reevaluated,revaluated
trimmed,trimed
school,scholl
thieves,thives
prison,pisond
opposite,opposte
swear,swaer
built,bilte
damaged,damatge
approximate,approximant
attorneys,attournys
cutting,cuting
various,vearious
ventilated,ventolated
desiccate,dessicate
conscious,conscius
traffic,traff
consist,consisit
enthusiastic,enthirsasthic
ocean,ochen
headmistress,headmisstres
recommended,reclomended
poetry,poettry
courses,coses
reckon,recond
efficiency,efficientcy
magnificent,magnivicent
would,whould
opportunities,opportumes
conscientious,conceintious
overwhelming,overwelming
comparatively,compairateley
specifically,specificlly
scarcely,scracely
aeroplane,arplane
conscious,conisious
oneself,ones_self
next,nexst
unfortunately,unfortnatly
adequate,adderquate
length,lengh
afraid,affraid
theater,theather
employees,employese
cease,ceause
voluptuous,volumptuous
pockets,pokets
exalted,exhalted
annihilation,anihilation
contemporary,contempory
averaged,averageed
ridiculous,ridiculuss
famous,famours
splendid,spliend
crazy,crasy
working,wroking
gradually,grandully
existence,egxistence
ascertain,asertained
operator,opratr
perforation,preforation
remembrance,remmberance
recommendation,recommedation
pervaded,prevaded
enemies,enemeys
affects,affets
contented,conteted
vulgar,vulguar
conscientious,concentus
diphtheria,diptheria
flagrancy,flagrany
lucky,luckey
married,marid
mutual,muticual
public,publick
loaned,laoned
unless,unles
never,neiver
immediately,immedatly
technical,technial
field,feald
somewhere,somwere
incredibly,incredibally
something,sometheing
delivered,dlived
contain,contane
forwarded,fowarded
specimens,speciemens
flagrancy,flayrancy
every,eveyr
required,recquired
nobbled,knobled
assignments,assigmments
once,onice
dormitory,dormititory
fourteen,four_ten
adjourned,adjorned
competent,completment
carrying,carring
tomorrow,tommorrow
certain,ceratin
fact,fackt
anniversary,anniversay
satisfaction,satisfactoin
conscience,conscence
unanimous,unanomous
language,languge
conscious,counsious
alumni,alumuni
enemies,enemeies
regained,reganed
dealing,deling
women,weomen
even,evene
league,legue
light_year,lightyears
region,reagion
dormitory,doromortory
amiable,aimiable
folly,folley
visited,vistered
commission,comision
sympathetic,symaphetic
vector,vectore
enlargement,enlargment
latest,latetest
technical,technicial
suitable,sitble
pneumonia,penmonia
undoubtedly,undobtedly
apologise,apologize
widow,widdow
recommendations,recomnendiation
fault,falt
annoyed,anoyed
biscuits,buscuits
establishing,establision
metallurgical,metalurgical
thoughts,thoughs
suitable,sutible
committees,committes
psychology,sycoloigy
specifically,specifiecaly
exhibition,ehxibitoin
interfered,interferred
score,scor
pneumonia,pnmonia
economical,ecamonical
successfully,succesfuly
help,heellp
deciduous,ecidious
executes,excecutes
increasing,increaseing
guarantee,granetee
there_had,therad
searched,seched
basin,bassin
position,postion
assiduous,assidious
dangerous,dageros
visible,visibal
preferred,peferred
minimum,minimume
gradually,gradualley
smaller,smaler
rank,ranke
insurance,insurence
exercise,excercise
frightening,frighteing
entertainment,entertanment
cured,curred
weight,wieght
engine,engin
level,levele
conscience,conscienceness
spiritual,spirtful
virtues,vurtuges
available,avable
approximately,appoximately
conscience,concunce
opened,onpend
bilaterally,bilateraly
ridiculous,rudiculous
receipts,recetes
rating,ratding
sympathetic,symthic
refreshment,refreshmen
embellishing,embelishing
delving,delvin
tuesday,tuseday
television,televison
earth,eath
frightened,frittend
carried,carred
except,exept
crooks,croks
unexpected,inexpected
controversy,conterverisy
distinguished,distushed
fascinating,facisinating
communicate,comunicate
appetite,appiete
wrong,wronge
satisfactorily,satisfactoryil
countryside,country_side
interesting,intresting
depreciation,deppreciation
politic,politict
primaeval,primeaval
ordinarily,ordinarialy
exist,exsist
altitude,altiude
ridiculous,ridiculious
procedure,procedeure
error,eror
answer,hanser
dark,darck
apology,appology
shown,showen
suitable,sutable
damage,damnage
annoyance,annoance
does,doens
stringent,stingent
strange,stange
league,leauge
progressing,progreing
fields,fileds
dodged,dodege
businesses,busineses
control,controll
syllables,sylables
employment,empoymen
triumph,triump
minimum,minmium
affidavit,afdavit
leisure,lesur
football,foot_ball
develop,deveoop
scandal,scand
alumni,aluminie
attorneys,attornnies
appears,appeares
arbitrarily,arbitarily
solemn,solemon
hero,heroe
ultimately,ulimately
intellectual,intelectual
bulletin,bulltin
indefinitely,indeffinitly
hasn't,hasen't
appreciate,apprsate
powerful,powerfull
negotiations,negogiation
every_time,everytime
inconvenience,inconvienances
immediately,immenditaly
industry,induster
locked,lockd
repairs,repas
catholic,cathlic
spectacular,spectauclar
conscious,consciencious
severely,severly
necessity,neccessity
medieval,medeival
campaign,campain
congratulations,congrationlation
exaggerate,exagrate
large,larg
technical,tecnicalle
really,reay
mentioned,mentiond
recommendations,reconmendations
potatoes,potaltos
vacancies,vacancsy
misdemeanors,misdemenors
backward,ackward
requisition,recquision
european,eurpean
algorithms,algoritms
flight,fliht
annoyance,anyance
quarrelled,quarelled
aggregates,agregates
privileged,priveliged
plays,playes
everything,evething
people,peiple
juicy,juicey
negotiations,negiotiation
thought,throght
establishing,exstablishing
leak,leack
enthusiasm,enthusiazom
acknowledgement,acknoledgment
appalled,appaled
scheduled,scheldued
curtains,curatan
programmable,programable
apparently,appartenately
originally,orginaly
proceed,procede
sufficient,suffient
alpine,alpin
visitor,vistor
innocent,innorcent
improvement,improvment
queries,quies
squirting,squrting
raincoat,rancoat
bully,bulley
scraping,craping
accustomed,accutomed
whistling,wistling
concern,consern
orchestra,orcestrar
import,inport
acknowledgement,acknolegment
magnificent,magnifesant
chemistry,chemistrey
perceive,percive
beneath,beaneth
committed,comitted
schedule,schedual
opinion,oppinion
scarcely,scarecely
headmistress's,head_mistrises
overcoat,overcote
grease,greas
imagine,immagine
opportunities,oppotunities
necessarily,necessiarly
dormitory,dormitorrary
missile,missle
orchestra,orchetsa
conscientious,conscinious
fled,fleed
orchestra,orcestor
flood,flod
grand,graned
acknowledging,acknowledgeing
intuitive,intutive
catalogues,cattallogs
reference,refereence
affidavit,affi-davit
telephoned,telponed
vacancies,vacantcies
rockefeller,rockerfeller
confirmation,contformation
onto,on_too
interference,intereference
courteous,curtous
bankruptcy,bankrucpy
connectives,connectivies
proper,propper
temporary,temprory
orchestra,orchetra
issue,isue
relief,releif
boundary,boundry
technical,techinal
gorgeous,georgous
controversy,conteversy
behind,behined
restaurant,resturaunt
dangerous,dangrose
excepting,exepting
occasionally,occanally
courtesies,courteoses
conscience,conscouince
ordinarily,ordinairly
indefinitely,indefinenly
bulletin,bullettin
subsidiary,subsiduary
biscuits,biscits
pneumonia,pnuemonia
necessarily,necessarilly
niece,neice
searched,searchde
happy,happiy
collecting,collecyting
misdemeanor,misdemenor
viewed,vewed
promise,promis
destination,destnation
attorneys,attornties
attorneys,attourny
simultaneous,similtanous
never,mever
flagrancy,fagrancy
diphthongs,diphtongs
teaching,teching
skilfully,sillfully
current,curent
needle,nedle
courtesy,courtescy
travel,travell
temperature,teamerature
chop,chope
accommodate,acomodate
snobby,snoby
affectionately,affecionately
recommending,recommeding
latest,latested
conscientious,conscientous
follow,folow
acknowledging,acknolgeing
swear,sware
gauge,gagde
descend,decend
toward,tord
dormitory,doramtory
impossible,imposible
o'clock,oclock
obbligato,obliggato
except,excpt
achieved,acheived
anniversary,anverseary
guarantee,guarnteed
settlement,settelment
constitutional,consitutional
decide,descide
eventually,evengualy
medal,medle
ground,grond
which,whitch
molecules,moleculs
immediate,immediat
sentenced,senteced
trotting,torting
trunk,turnk
fight,firght
available,avalable
immigration,imigration
something,somthing
before,beefore
broccoli,brocolli
northern,nothern
dodged,dogded
getting,geting
infinite,infonit
recognize,recognises
exquisite,exsquisit
backchatting,back_chating
laugh,laught
originally,orignoally
little,littele
latest,latets
overcoat,overcot
school,schoole
wanted,wnated
expenditure,expenture
regularly,regulairly
ahead,ahade
accompanying,accompaining
affidavit,afidavite
quick,quik
offered,offerd
sophomore,sophmore
sorority,sorroity
writing,writeing
important,importnat
unforgettable,ufor_getble
lights,ligh
rheumatism,rheunatism
changeable,changable
intelligence,intelligance
suspicion,suspicison
pamphlet,pamphalet
vilify,villify
behind,bey-hind
decidedly,deceidly
answering,ansewering
advantageous,advantageos
bankruptcy,bankruptucy
guarantee,garaunteed
continually,continualy
fever,feaver
epistle,epistel
government,gobernement
wear,weare
bored,bord
aficionados,afficionados
poetry,peotry
unfortunate,unfortuanate
accompanying,companying
knowledge,knowlege
greatly,gratly
rheumatism,rhumatisimn
experience,experence
transferred,transeferred
building,biulding
emitted,emmited
agencies,agences
everyone,everone
poetry,poaetry
irresistible,irrestible
rheumatism,rheutism
previously,previos
refrigerator,refigator
without,whithout
folk,folck
altimeter,alti_meter
conscious,councious
really,relaly
bulletin,bulletion
apparatus,appauratus
gratefully,greatfully
suspicion,susici
notable,noteable
initiation,initation
suitable,siutable
symmetrically,symetrically
recommend,recomned
opposite,oppitsite
particular,particlar
dodged,doged
pneumonia,pneumia
thoroughly,thouroughly
dormitory,dormintory
dangerous,daners
congress,congeres
representatives,represntatives
approximately,approcimate
materially,materialy
recommending,reccommending
receives,recieves
accident,accsident
prettiest,prettest
engineer,engieneer
literally,liturelly
muslin,musslin
knock,knok
black,blak
extraordinary,extrodernary
breakthrough,breakthough
philosophy,phlosopy
bankruptcy,bankruptcey
bicycle,bicylce
poetry,portry
remember,rembember
technical,tecnichal
april,apirl
adequate,adequante
answer,anwer
converted,coverted
around,a_rond
transferred,transifered
wedding,weding
climatologists,climatoligists
idea,idear
consolidated,consolodated
scheduled,scheuduled
enthusiasm,ethusaism
initiation,innitiation
excels,excells
bridge,birdge
specimens,specimns
attorneys,attornyes
consistent,consitent
sympathetic,symathectic
retain,retane
engage,engauge
occasioned,ocassioned
conveniently,convenently
anticipate,anticcipate
magnolia,magolia
southern,suthen
imitation,imation
comparisons,compariosns
neighbor,neigbour
unsuccessful,unsucessfull
minimum,miniumum
mortgage,mortatge
altitude,altitud
counsel,conseal
pneumonia,phnemounia
category,catagory
conversely,converzely
hydrophobic,hydropobic
disposal,disposaile
especially,espally
enthusiasm,enthusuasem
amongst,amounst
rating,reating
initials,inistals
livelihood,livlihood
everybody,every_body
enthusiasm,enthusim
recognize,reconize
disappointedly,dissapointedly
permissible,permisable
morning,mornig
inhabitants,habitants
conception,consection
frost,forst
needle,neddle
sank,sanked
initiation,initution
actually,actuly
anxiety,ansxeity
pleasing,plasing
industry,industury
seriously,serously
prefer,pefer
sergeant,sergant
answer,asnwer
prize,prise
perceived,percieved
stylish,styleish
buried,burried
copy,coppy
hammer,hamer
especially,espilly
occasionally,ocassionaly
sport,sprot
affidavit,affivadat
damaged,damgedid
exhaust,exaust
x-rays,exrays
reckon,rekon
special,speal
requisition,requition
latest,laterst
recognition,renition
occasions,ocasions
smile,smil
touched,tougched
sometimes,somtimes
babies,babyies
delinquent,deliquent
spiritual,spirtual
wishes,wisches
functional,funcional
tattoos,tattooes
unanimous,unaimous
envy,envey
puncture,punkture
subtracts,substracts
glowed,gloed
voucher,vouncher
tomboy,tom_boy
originally,originially
fundamentals,fundametals
mathematics,mathlematics
chicken,chiken
nuisance,nusance
begin,begine
fundamental,vundamental
tournament,tournnament
pneumonia,pheneumonia
hydroelectric,hydrolectric
economical,econicmal
contented,contet
mystery,myster
arranged,arrainged
unfortunately,unfortuneilly
representative,representive
anxious,anxous
pamphlets,apanphlets
believe,beleive
chauffeurs,chauffers
develop,devellope
organizations,organisatios
measure,mesure
negotiations,negoations
remainder,remander
quickly,quikly
attaching,attatching
thankful,thankfill
eminent,emminent
pocket,poket
therefore,therfore
old-fashioned,oldfashioned
excellent,exelent
scripture,scriture
round,rund
aeroplane,earoplanes
requisition,recoquisition
procedure,proceedur
comfortable,comfortl
inconvenience,inconveinence
fruit,fuit
of_course,ofcourse
aeroplane,areoplane
recognition,recoknigition
facilitate,faciliate
philosophy,pholosiphy
recommended,reccommended
establishing,estableishing
sufficiently,sucificently
research,reserch
notwithstanding,nothwithstanding
mistaken,misstaken
discretion,discreshtion
commercials,commerciasl
anticipation,antcipation
that,theat
preacher,precher
delinquent,delinquete
pretend,petened
mortgage,mogage
manufacturing,manufaturing
villain,villin
stuck,stuk
unsurprising,unsuprizing
hothouses,hot_houses
maple,mapel
playground,plygroud
about,abought
memories,memeroies
special,spectial
communicate,comuinicate
poetry,powety
remember,reymeber
designed,desinde
congress,comgress
group_sex,groupsex
exception,exeption
innkeeper,inn_keeper
excess,exess
reputation,repution
spelling,speling
frequent,freequent
manoeuvrability,manouverability
recollections,recolections
wreck,wreack
conscientious,consciencentous
dormitory,dormortory
sacrilegious,sacriligeous
mustn't,mustent
financial,finachial
further,futher
vacancies,vancancies
fascinating,fasionating
reclamation,reclaimation
reference,referance
at_least,atleast
pretend,pertened
embarrassing,embarassing
boxes,boxs
confirmation,confeimation
drawing,drawin
relieved,releived
toilets,toilects
galvanized,galvaize
house,houe
carcass,carcas
about,abot
meeting,meetting
folly,floly
affectionate,affectunate
pledge,plege
democrat,democrate
couple,cuple
higher,hier
committed,conmited
occurred,occured
questionnaire,questionior
sorority,sorrity
already,allready
unfortunately,unfortuntly
choose,cheoos
encyclopedia,encyclopia
mathematics,mathemathics
women,wommen
practitioner,practictioner
particularly,particulary
disappointment,disiapointment
considered,conscidered
diagrammatically,diagrammaticaally
mountainous,mountin
acquired,adquired
adjourned,adjouned
cruises,crusies
sepulchre,sepulchure
lady,ladiy
people,peol
scheduled,scheduel
again,agine
bachelor,bachler
maneuvers,manuevers
nuclear,nucular
indefinite,indefint
ventilated,ventorlated
recreation,reccreation
successful,sucessful
strenuous,stenous
awful,awefull
refrigerator,refridgrator
bishop,bishope
filled,fild
anniversary,annivesry
principles,principuls
teacher,teche
refreshment,resment
prejudice,prejidice
riding,rideing
masterpiece,masterpice
environmentally,enviromentally
pamphlets,paniphlets
doubtful,doubtfull
economical,econocomal
corner,coner
naughty,nauty
diamond,dimounde
vagina,agina
went,wen't
representatives,representives
aggregate,agregate
subterranean,subterainean
shriek,shreik
able,abule
convalescence,convalensence
latest,lateest
pronouncements,pronouncments
coolly,cooly
information,onformation
nickname,nick-name
answer,anwers
temporary,temperoary
quotation,quotion
unfortunately,unfortuatly
oyster,oster
possess,poseses
specifically,sepecifically
pronunciation,pronounciation
poetry,powetrey
interpreter,interpretter
evaluation,evaualtion
wrong,ronge
adequate,adquante
enthusiasm,entusiansome
version,verison
